"","sp1","sp2","sp1_inc","sp2_inc","obs_cooccur","prob_cooccur","exp_cooccur","p_lt","p_gt","sp1_name","sp2_name"
"1",43,47,3,3,1,0.111,1,0.77381,0.7619,"Bison_sp.","Blarina_brevicauda"
"2",43,87,3,4,1,0.148,1.3,0.59524,0.88095,"Bison_sp.","Canis_latrans"
"3",43,101,3,4,1,0.148,1.3,0.59524,0.88095,"Bison_sp.","Castor_canadensis"
"4",43,120,3,3,1,0.111,1,0.77381,0.7619,"Bison_sp.","Clethrionomys_gapperi"
"5",43,148,3,3,2,0.111,1,0.9881,0.22619,"Bison_sp.","Dasypus_bellus"
"6",43,202,3,4,2,0.148,1.3,0.95238,0.40476,"Bison_sp.","Equus_sp."
"7",43,229,3,3,1,0.111,1,0.77381,0.7619,"Bison_sp.","Geomys_bursarius"
"8",43,300,3,4,1,0.148,1.3,0.59524,0.88095,"Bison_sp.","Lepus_americanus"
"9",43,316,3,3,2,0.111,1,0.9881,0.22619,"Bison_sp.","Mammut_americanum"
"10",43,324,3,3,1,0.111,1,0.77381,0.7619,"Bison_sp.","Marmota_caligata"
"11",43,330,3,3,0,0.111,1,0.2381,1,"Bison_sp.","Martes_americana"
"12",43,334,3,3,0,0.111,1,0.2381,1,"Bison_sp.","Martes_pennanti"
"13",43,359,3,3,1,0.111,1,0.77381,0.7619,"Bison_sp.","Microtus_longicaudus"
"14",43,369,3,4,2,0.148,1.3,0.95238,0.40476,"Bison_sp.","Microtus_pennsylvanicus"
"15",43,372,3,6,2,0.222,2,0.7619,0.77381,"Bison_sp.","Microtus_sp."
"16",43,376,3,3,1,0.111,1,0.77381,0.7619,"Bison_sp.","Mictomys_borealis"
"17",43,431,3,3,1,0.111,1,0.77381,0.7619,"Bison_sp.","Neotoma_cinerea"
"18",43,471,3,4,1,0.148,1.3,0.59524,0.88095,"Bison_sp.","Odocoileus_virginianus"
"19",43,481,3,5,2,0.185,1.7,0.88095,0.59524,"Bison_sp.","Ondatra_zibethicus"
"20",43,508,3,3,1,0.111,1,0.77381,0.7619,"Bison_sp.","Ovis_canadensis"
"21",43,562,3,4,1,0.148,1.3,0.59524,0.88095,"Bison_sp.","Peromyscus_maniculatus"
"22",43,573,3,3,1,0.111,1,0.77381,0.7619,"Bison_sp.","Peromyscus_sp."
"23",43,580,3,4,2,0.148,1.3,0.95238,0.40476,"Bison_sp.","Phenacomys_intermedius"
"24",43,694,3,4,2,0.148,1.3,0.95238,0.40476,"Bison_sp.","Sorex_cinereus"
"25",43,729,3,3,1,0.111,1,0.77381,0.7619,"Bison_sp.","Spermophilus_columbianus"
"26",43,733,3,3,2,0.111,1,0.9881,0.22619,"Bison_sp.","Spermophilus_franklinii"
"27",43,777,3,3,2,0.111,1,0.9881,0.22619,"Bison_sp.","Synaptomys_cooperi"
"28",43,787,3,3,1,0.111,1,0.77381,0.7619,"Bison_sp.","Tamias_sp."
"29",43,788,3,3,1,0.111,1,0.77381,0.7619,"Bison_sp.","Tamias_striatus"
"30",43,790,3,3,1,0.111,1,0.77381,0.7619,"Bison_sp.","Tamiasciurus_hudsonicus"
"31",43,816,3,4,2,0.148,1.3,0.95238,0.40476,"Bison_sp.","Thomomys_talpoides"
"32",43,834,3,3,0,0.111,1,0.2381,1,"Bison_sp.","Ursus_americanus"
